idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
2784,0.9931932091712952,100,0.54,0.19,0.27,0.35,0.19,1.9505750531512878,0.05,4,0,nan
2786,0.9984431266784668,100,0.72,0.12,0.16,0.43,0.29,1.831552356579288,0.13,4,0,nan
2787,0.9957417249679565,100,0.71,0.12,0.17,0.27,0.44,1.8328224688910812,0.08,5,1,nan
2788,0.978359043598175,100,0.77,0.09,0.14,0.37,0.4,1.7692642673191958,0.12,7,1,nan
2794,0.9900406002998352,100,0.68,0.16,0.16,0.22,0.46,1.8419427338882934,0.09,7,2,nan
2795,0.9941021203994751,100,0.77,0.13,0.1,0.56,0.21,1.6561008017918486,0.06,4,0,nan
2796,0.9859726428985596,100,0.65,0.21,0.14,0.21,0.44,1.8639032709191703,0.06,3,0,nan
2799,0.988497257232666,100,0.63,0.25,0.12,0.19,0.44,1.8434405024898126,0.04,4,0,nan
2800,0.9899669885635376,100,0.61,0.21,0.18,0.27,0.34,1.957326039122317,0.07,4,0,nan
2801,0.9959739446640015,100,0.75,0.11,0.14,0.32,0.43,1.7969951781146554,0.06,4,0,nan
2802,0.9992479681968689,100,0.7,0.13,0.17,0.27,0.43,1.8508168732977865,0.13,4,0,nan
2806,0.980407178401947,100,0.67,0.23,0.1,0.18,0.49,1.7694498065168074,0.01,5,1,nan
2807,0.9969778656959534,100,0.7,0.07,0.23,0.56,0.14,1.6217736498972566,0.05,5,3,nan
2818,0.9613108038902283,100,0.8,0.09,0.11,0.3,0.5,1.684030188024896,0.16,3,0,nan
2822,0.9996921420097351,100,0.63,0.24,0.13,0.22,0.41,1.8847367482496855,0.07,5,1,nan
2825,0.9741970300674438,100,0.74,0.05,0.21,0.41,0.33,1.744126744965113,0.09,4,0,nan
2827,0.9960322380065918,100,0.7,0.21,0.09,0.26,0.44,1.8119120419442822,0.08,4,0,nan
2832,0.999971866607666,100,0.7,0.12,0.18,0.47,0.23,1.8119981792469673,0.11,5,1,nan
2835,0.9985015988349915,100,0.78,0.05,0.17,0.52,0.26,1.6465481218677471,0.11,5,1,nan
2837,0.9949415326118469,100,0.69,0.2,0.11,0.23,0.46,1.8176753430678108,0.09,4,0,nan
2839,0.9944968223571777,100,0.7,0.12,0.18,0.27,0.43,1.8459607193225311,0.09,4,0,nan
2840,0.9778748154640198,100,0.72,0.1,0.18,0.34,0.38,1.8371270588926945,0.06,5,1,nan
2841,0.9934135675430298,100,0.73,0.14,0.13,0.23,0.5,1.767421992547843,0.06,5,1,nan
2842,0.998935878276825,100,0.85,0.05,0.1,0.38,0.47,1.5906977601445682,0.13,5,3,nan
2844,0.9890559315681458,100,0.72,0.19,0.09,0.18,0.54,1.693230960662746,0.03,4,0,nan
2845,0.9534976482391357,100,0.84,0.08,0.08,0.22,0.62,1.4911795212346566,0.18,7,3,nan
2849,0.9997977614402771,100,0.58,0.29,0.13,0.18,0.4,1.8746267996148256,0.04,4,0,nan
2855,0.9939026832580566,100,0.72,0.17,0.11,0.34,0.38,1.8445002075783865,0.15,5,1,nan
2864,0.9763964414596558,100,0.63,0.17,0.2,0.48,0.15,1.8177862980972617,0.01,4,0,nan
2866,0.9973435997962952,100,0.68,0.26,0.06,0.35,0.33,1.8067449976957435,0.12,7,2,nan
2868,0.9990530014038086,100,0.78,0.15,0.07,0.5,0.28,1.693320282825923,0.14,5,2,nan
2869,0.9996196031570435,100,0.74,0.16,0.1,0.32,0.42,1.8068900627189093,0.14,4,0,nan
2881,0.986835241317749,100,0.72,0.15,0.13,0.44,0.28,1.828556146698565,0.05,5,1,nan
2885,0.9935138821601868,100,0.63,0.12,0.25,0.28,0.35,1.9113882081376374,0.05,7,1,nan
2886,0.9934950470924377,100,0.67,0.17,0.16,0.28,0.39,1.901621263229761,0.08,4,0,nan
2889,0.9856687784194946,100,0.55,0.21,0.24,0.28,0.27,1.991199527057842,0.04,3,0,nan
2893,0.9977155923843384,100,0.7,0.2,0.1,0.41,0.29,1.8418669508281058,0.1,4,0,nan
2899,0.9970523118972778,100,0.68,0.19,0.13,0.55,0.13,1.6948877930651967,0.03,5,1,nan
2908,0.9804759621620178,100,0.62,0.22,0.16,0.24,0.38,1.9281777783928793,0.02,5,1,nan
2911,0.9983474016189575,100,0.64,0.13,0.23,0.4,0.24,1.8932175383952474,0.09,10,1,nan
2922,0.9937427639961243,100,0.65,0.22,0.13,0.36,0.29,1.9117365812099487,0.13,4,0,nan
2924,0.957904040813446,100,0.68,0.22,0.1,0.15,0.53,1.7087569939260097,0.04,5,2,nan
2928,0.9784912467002869,100,0.55,0.12,0.33,0.33,0.22,1.9032856148114012,0.03,5,1,nan
2930,0.9865034818649292,100,0.57,0.22,0.21,0.38,0.19,1.939075892228136,0.05,4,0,nan
2936,0.9990406632423401,100,0.75,0.11,0.14,0.42,0.33,1.8008656456811887,0.08,6,2,nan
2937,0.9923639893531799,100,0.67,0.17,0.16,0.41,0.26,1.8902768581520688,0.08,5,1,nan
2943,0.9989039301872253,100,0.6,0.24,0.16,0.16,0.44,1.8613152774012365,0.04,4,0,nan
2950,0.9987272024154663,100,0.75,0.13,0.12,0.58,0.17,1.6401058661432946,0.08,5,1,nan
2951,0.9602143168449402,100,0.72,0.1,0.18,0.54,0.18,1.7028511285984829,0.02,4,0,nan
2952,0.9806893467903137,100,0.84,0.05,0.11,0.63,0.21,1.459149296391767,0.13,9,2,nan
2954,0.9961274862289429,100,0.68,0.15,0.17,0.31,0.37,1.8996553159182463,0.05,4,0,nan
2957,0.9895801544189453,100,0.62,0.14,0.24,0.46,0.16,1.8295970007273568,0.06,6,2,nan
2959,0.9988588690757751,100,0.66,0.16,0.18,0.28,0.38,1.9129978562304168,0.11,4,0,nan
2965,0.9983164668083191,100,0.56,0.2,0.24,0.44,0.12,1.8467341583372252,0.06,3,0,nan
2974,0.996064305305481,100,0.79,0.12,0.09,0.23,0.56,1.6358294333130066,0.11,4,0,nan
2975,0.9955244064331055,100,0.68,0.12,0.2,0.5,0.18,1.776760475563735,0.07,4,0,nan
2982,0.9592540860176086,100,0.6,0.24,0.16,0.32,0.28,1.9574058114255182,0.06,4,0,nan
2985,0.9975706338882446,100,0.66,0.19,0.15,0.32,0.34,1.9209790068540502,0.09,4,0,nan
2986,0.9521139860153198,100,0.59,0.2,0.21,0.2,0.39,1.931391427679963,0.07,4,0,nan
2995,0.9784287214279175,100,0.71,0.17,0.12,0.51,0.2,1.761469463292693,0.06,4,0,nan
2998,0.9956861138343811,100,0.73,0.11,0.16,0.48,0.25,1.781572663934786,0.11,5,1,nan
3001,0.9850404262542725,100,0.62,0.22,0.16,0.4,0.22,1.9129350396193687,0.08,4,0,nan
3003,0.9923776388168335,100,0.64,0.2,0.16,0.43,0.21,1.8837900674918104,0.05,7,2,nan
3004,0.9820401668548584,100,0.71,0.06,0.23,0.49,0.22,1.7160564101216849,0.11,4,0,nan
3006,0.9839206337928772,100,0.54,0.23,0.23,0.44,0.1,1.828674968299352,0.03,4,0,nan
3007,0.9996433854103088,100,0.65,0.21,0.14,0.16,0.49,1.7972320182866686,0.05,5,1,nan
3015,0.9970665574073792,100,0.56,0.16,0.28,0.44,0.12,1.8254513993116461,0.05,8,2,nan
3019,0.9966627359390259,100,0.74,0.13,0.13,0.34,0.4,1.8232332590779805,0.12,4,0,nan
3023,0.9956666827201843,100,0.68,0.17,0.15,0.48,0.2,1.8177862980972617,0.05,4,0,nan
3029,0.9979599714279175,100,0.56,0.21,0.23,0.25,0.31,1.9842853774344595,0.05,4,0,nan
3037,0.9648755788803101,100,0.71,0.12,0.17,0.44,0.27,1.832822468891081,0.04,5,1,nan
3042,0.9846029877662659,100,0.84,0.08,0.08,0.38,0.46,1.6288052348799362,0.15,5,2,nan
3045,0.9810907244682312,100,0.79,0.09,0.12,0.26,0.53,1.6704552719231982,0.15,5,1,nan
3046,0.9990426301956177,100,0.72,0.11,0.17,0.5,0.22,1.7654469777244965,0.07,4,0,nan
3049,0.9649285078048706,100,0.56,0.3,0.14,0.15,0.41,1.8561294107694124,0.03,4,0,nan
3051,0.9911712408065796,100,0.73,0.16,0.11,0.1,0.63,1.5254395504309384,0.07,5,4,nan
3055,0.9800596833229065,100,0.71,0.16,0.13,0.36,0.35,1.8663769699664123,0.06,5,1,nan
3056,0.9991714954376221,100,0.7,0.15,0.15,0.44,0.26,1.8475247721750743,0.07,4,0,nan
3060,0.9988809823989868,100,0.81,0.11,0.08,0.47,0.34,1.6829245854110173,0.1,5,3,nan
3062,0.9627354741096497,100,0.75,0.09,0.16,0.33,0.42,1.7891395626895474,0.13,4,0,nan
3067,0.9814655780792236,100,0.67,0.17,0.16,0.39,0.28,1.9016212632297609,0.09,3,0,nan
3075,0.9998311400413513,100,0.66,0.12,0.22,0.38,0.28,1.892313900303289,0.08,5,1,nan
3077,0.9686800241470337,100,0.7,0.14,0.16,0.23,0.47,1.8197504905050579,0.08,6,1,nan
3078,0.9995470643043518,100,0.54,0.27,0.19,0.17,0.37,1.9305639083410377,0.04,5,1,nan
3082,0.961419939994812,100,0.76,0.15,0.09,0.33,0.43,1.7745854463934472,0.11,5,1,nan
3084,0.9826913475990295,100,0.69,0.21,0.1,0.44,0.25,1.826162761858357,0.1,4,0,nan
3089,0.9962716698646545,100,0.72,0.15,0.13,0.42,0.3,1.8399249408254703,0.04,5,2,nan
3099,0.9983896017074585,100,0.72,0.11,0.17,0.49,0.23,1.7768229552024994,0.09,4,0,nan
3100,0.9966500401496887,100,0.75,0.11,0.14,0.43,0.32,1.7969951781146554,0.09,4,0,nan
3103,0.9904545545578003,100,0.68,0.23,0.09,0.17,0.51,1.730338082333783,0.04,5,2,nan
3108,0.983234167098999,100,0.63,0.21,0.16,0.26,0.37,1.9318574589917894,0.12,3,0,nan
3112,0.9738117456436157,100,0.64,0.13,0.23,0.43,0.21,1.8666992732178282,0.04,5,1,nan
3113,0.9962989091873169,100,0.64,0.2,0.16,0.24,0.4,1.9103083326692296,0.09,4,0,nan
3122,0.9522754549980164,100,0.65,0.24,0.11,0.31,0.34,1.897389489306498,0.03,4,0,nan
3124,0.9969698190689087,100,0.67,0.16,0.17,0.35,0.32,1.9137384508314286,0.11,3,0,nan
3126,0.9554176926612854,100,0.78,0.14,0.08,0.48,0.3,1.7179773216579495,0.13,4,0,nan
3128,0.9591070413589478,100,0.71,0.17,0.12,0.35,0.36,1.8623699502256579,0.16,4,0,nan
3130,0.9992004632949829,100,0.68,0.14,0.18,0.42,0.26,1.8733523561432806,0.08,5,1,nan
3132,0.9989569783210754,100,0.79,0.11,0.1,0.46,0.33,1.72563734306137,0.2,2,0,nan
3133,0.9987230896949768,100,0.7,0.16,0.14,0.47,0.23,1.8197504905050577,0.07,4,0,nan
3136,0.9997282028198242,100,0.72,0.11,0.17,0.39,0.33,1.8424931039674977,0.11,4,0,nan
3139,0.9986962080001831,100,0.66,0.09,0.25,0.4,0.26,1.8467133275296064,0.11,4,0,nan
3143,0.9854020476341248,100,0.67,0.18,0.15,0.24,0.43,1.873551255478851,0.11,4,0,nan
3151,0.9995929002761841,100,0.81,0.07,0.12,0.45,0.36,1.6846389512765678,0.17,4,0,nan
3152,0.9995744228363037,100,0.76,0.13,0.11,0.22,0.54,1.6935473410978017,0.07,4,0,nan
3158,0.9578832983970642,100,0.63,0.19,0.18,0.34,0.29,1.947611607348716,0.06,4,0,nan
3159,0.9946212768554688,100,0.72,0.13,0.15,0.45,0.27,1.821611918142615,0.13,4,0,nan
3160,0.9957866668701172,100,0.71,0.18,0.11,0.36,0.35,1.8563101550150352,0.11,5,1,nan
3162,0.9850046038627625,100,0.75,0.13,0.12,0.33,0.42,1.8031801493744752,0.14,3,0,nan
3166,0.9891449213027954,100,0.72,0.14,0.14,0.3,0.42,1.840956315348961,0.12,5,1,nan
3170,0.9881548285484314,100,0.79,0.08,0.13,0.27,0.52,1.6747507473988783,0.14,5,2,nan
3176,0.9980878233909607,100,0.75,0.17,0.08,0.18,0.57,1.633653698428648,0.1,4,0,nan
3182,0.9920359253883362,100,0.76,0.09,0.15,0.46,0.3,1.7596236718348575,0.12,4,0,nan
3186,0.9735550284385681,100,0.71,0.19,0.1,0.32,0.39,1.8432502873754304,0.14,4,0,nan
3193,0.9508619904518127,100,0.58,0.27,0.15,0.23,0.35,1.9383346690254593,0.05,3,0,nan
3198,0.9843624830245972,100,0.59,0.24,0.17,0.14,0.45,1.8442329241526716,0.02,4,0,nan
3205,0.9993509650230408,100,0.79,0.09,0.12,0.47,0.32,1.7177106792698882,0.16,4,0,nan
3207,0.9979364275932312,100,0.68,0.19,0.13,0.33,0.35,1.8957936835430735,0.09,4,0,nan
3209,0.9519767761230469,100,0.65,0.15,0.2,0.32,0.33,1.9287869220676848,0.09,4,0,nan
3210,0.9799233675003052,100,0.77,0.11,0.12,0.37,0.4,1.7768542284004267,0.11,4,0,nan
3211,0.9747160077095032,100,0.63,0.21,0.16,0.19,0.44,1.8722133912364929,0.05,5,1,nan
3215,0.9995321035385132,100,0.79,0.06,0.15,0.4,0.39,1.7126467470789555,0.16,5,2,nan
3220,0.9955149292945862,100,0.6,0.22,0.18,0.36,0.24,1.9506307327225931,0.05,3,0,nan
3222,0.9999504685401917,100,0.78,0.08,0.14,0.42,0.36,1.7448801826003484,0.15,6,1,nan
3223,0.9965695142745972,100,0.68,0.1,0.22,0.4,0.28,1.8557578080547088,0.1,5,1,nan
3224,0.9965353012084961,100,0.78,0.09,0.13,0.2,0.58,1.6154911801351102,0.05,5,1,nan
3232,0.9939767718315125,100,0.62,0.17,0.21,0.2,0.42,1.8974419114340755,0.04,4,0,nan
3234,0.983566164970398,100,0.62,0.19,0.19,0.27,0.35,1.9505750531512875,0.06,5,1,nan
3235,0.9810760021209717,100,0.76,0.18,0.06,0.29,0.47,1.7187006905963536,0.11,7,1,nan
3242,0.9941625595092773,100,0.67,0.16,0.17,0.26,0.41,1.8902768581520686,0.07,4,0,nan
3245,0.9986772537231445,100,0.7,0.16,0.14,0.48,0.22,1.8089695442402998,0.08,4,0,nan
3247,0.9902824759483337,100,0.7,0.21,0.09,0.24,0.46,1.7949467809020734,0.12,4,0,nan
3253,0.9927027821540833,100,0.7,0.16,0.14,0.51,0.19,1.7707833487269162,0.05,5,1,nan
3256,0.9623270630836487,100,0.66,0.12,0.22,0.46,0.2,1.8273616148242822,0.04,5,1,nan
3266,0.9900833964347839,100,0.8,0.16,0.04,0.31,0.49,1.6368475099383413,0.13,5,2,nan
3276,0.9976649284362793,100,0.73,0.17,0.1,0.23,0.5,1.7544473524929556,0.1,5,1,nan
3282,0.9957379698753357,100,0.8,0.11,0.09,0.4,0.4,1.720482985684924,0.1,4,0,nan
3283,0.999397873878479,100,0.73,0.14,0.13,0.24,0.49,1.7781705135387886,0.09,5,1,nan
3286,0.965368926525116,100,0.59,0.21,0.2,0.36,0.23,1.9554916616013671,0.04,5,1,nan
3290,0.9833042621612549,100,0.65,0.17,0.18,0.39,0.26,1.91497981442959,0.09,3,0,nan
3299,0.9989696145057678,100,0.7,0.15,0.15,0.46,0.24,1.8305595111328656,0.06,4,0,nan
3302,0.9924436807632446,100,0.58,0.15,0.27,0.38,0.2,1.9154049007632754,0.1,4,0,nan
3303,0.9996458888053894,100,0.75,0.16,0.09,0.34,0.41,1.7922292517263867,0.09,5,1,nan
3306,0.9975412487983704,100,0.81,0.1,0.09,0.39,0.42,1.7002899472328243,0.16,4,0,nan
3307,0.9946611523628235,100,0.83,0.07,0.1,0.38,0.45,1.6496021872850402,0.15,5,1,nan
3320,0.9765434265136719,100,0.75,0.14,0.11,0.42,0.33,1.8008656456811887,0.14,4,0,nan
3321,0.9962908625602722,100,0.61,0.18,0.21,0.27,0.34,1.957326039122317,0.04,4,0,nan
3326,0.9891831278800964,100,0.78,0.07,0.15,0.26,0.52,1.6749647757393626,0.03,8,2,nan
3327,0.997847318649292,100,0.77,0.1,0.13,0.57,0.2,1.6414732898762714,0.09,6,2,nan
3328,0.9926984906196594,100,0.81,0.08,0.11,0.34,0.47,1.6829245854110173,0.15,4,0,nan
3332,0.9991485476493835,100,0.67,0.15,0.18,0.41,0.26,1.8885254515637324,0.08,5,1,nan
3334,0.9937107563018799,100,0.6,0.33,0.07,0.24,0.36,1.8211272851500926,0.07,3,0,nan
3335,0.9966537356376648,100,0.7,0.19,0.11,0.21,0.49,1.782618001770349,0.08,4,0,nan
3337,0.9810889959335327,100,0.59,0.18,0.23,0.27,0.32,1.969030814037859,0.06,3,0,nan
3339,0.9835541844367981,100,0.67,0.17,0.16,0.26,0.41,1.8902768581520686,0.05,4,0,nan
3340,0.988548994064331,100,0.83,0.09,0.08,0.44,0.39,1.655106162088229,0.14,5,2,nan
3341,0.9986802935600281,100,0.85,0.12,0.03,0.27,0.58,1.4846632119084229,0.17,4,0,nan
3342,0.9994961619377136,100,0.67,0.18,0.15,0.26,0.41,1.8885254515637322,0.08,5,1,nan
3347,0.9885901808738708,100,0.74,0.13,0.13,0.35,0.39,1.8251859417710259,0.11,5,1,nan
3350,0.9840445518493652,100,0.66,0.18,0.16,0.23,0.43,1.8795565951000937,0.05,5,2,nan
3352,0.990699052810669,100,0.58,0.31,0.11,0.26,0.32,1.9054035287880065,0.05,4,0,nan
3353,0.9749278426170349,100,0.85,0.07,0.08,0.47,0.38,1.6024721298336402,0.08,8,5,nan
3356,0.9971373081207275,100,0.71,0.14,0.15,0.31,0.4,1.860220817170506,0.08,6,1,nan
3357,0.9989878535270691,100,0.7,0.22,0.08,0.21,0.49,1.7491867512745276,0.11,5,1,nan
3358,0.998907744884491,100,0.74,0.11,0.15,0.57,0.17,1.6576691312968839,0.08,5,2,nan
3359,0.9914736747741699,100,0.63,0.16,0.21,0.44,0.19,1.872213391236493,0.06,4,0,nan
3363,0.9855318069458008,100,0.8,0.16,0.04,0.24,0.56,1.571346433249389,0.14,5,1,nan
3369,0.9622024893760681,100,0.63,0.17,0.2,0.41,0.22,1.9069306097910745,0.07,4,0,nan
3370,0.9717722535133362,100,0.63,0.2,0.17,0.33,0.3,1.9478846497138491,0.1,5,1,nan
3371,0.9974977970123291,100,0.59,0.26,0.15,0.21,0.38,1.9191091598246608,0.06,5,1,nan
3376,0.9796847701072693,100,0.67,0.22,0.11,0.26,0.41,1.8635331070143182,0.05,5,1,nan
3378,0.9988319277763367,100,0.68,0.12,0.2,0.2,0.48,1.804107451387086,0.11,5,1,nan
3381,0.9972895383834839,100,0.75,0.09,0.16,0.36,0.39,1.7960830737694073,0.18,4,0,nan
3383,0.9897803068161011,100,0.68,0.18,0.14,0.43,0.25,1.8659821084614605,0.06,4,0,nan
3385,0.9900581240653992,100,0.65,0.19,0.16,0.37,0.28,1.9231928387616029,0.09,5,1,nan
3388,0.9926671385765076,100,0.66,0.19,0.15,0.31,0.35,1.9196664607284961,0.11,4,0,nan
3389,0.994442343711853,100,0.63,0.18,0.19,0.32,0.31,1.9503626057408958,0.03,4,0,nan
3391,0.983079195022583,100,0.81,0.1,0.09,0.34,0.47,1.6859760038425753,0.17,5,1,nan
3399,0.9857513904571533,100,0.72,0.12,0.16,0.39,0.33,1.8477037649436194,0.13,6,1,nan
3403,0.9988359212875366,100,0.78,0.19,0.03,0.59,0.19,1.5113354605210412,0.06,5,2,nan
3404,0.9821842908859253,100,0.71,0.17,0.12,0.35,0.36,1.8623699502256579,0.06,5,1,nan
3407,0.9992818832397461,100,0.73,0.17,0.1,0.16,0.57,1.6520473891995282,0.06,5,3,nan
3409,0.9715908765792847,100,0.77,0.11,0.12,0.32,0.45,1.7617893182897295,0.15,4,0,nan
3416,0.9976309537887573,100,0.58,0.19,0.23,0.42,0.16,1.8915573947602513,0.04,4,0,nan
3420,0.99696946144104,100,0.71,0.16,0.13,0.5,0.21,1.7784842727454808,0.09,4,0,nan
3422,0.9868038296699524,100,0.69,0.1,0.21,0.38,0.31,1.8592634101739547,0.1,5,1,nan
3430,0.9998750686645508,100,0.67,0.08,0.25,0.4,0.27,1.8303012787919621,0.08,4,0,nan
3435,0.998040497303009,100,0.55,0.25,0.2,0.22,0.33,1.972781507865076,0.05,3,0,nan
3443,0.9899225234985352,100,0.58,0.29,0.13,0.25,0.33,1.928370430997416,0.06,6,2,nan
3444,0.9915420413017273,100,0.66,0.23,0.11,0.24,0.42,1.8577351440913525,0.08,4,0,nan
3447,0.961628258228302,100,0.66,0.17,0.17,0.24,0.42,1.8889545060094526,0.08,6,1,nan
3448,0.9994831085205078,100,0.69,0.18,0.13,0.17,0.52,1.7531151897108408,0.06,5,1,nan
3449,0.9944905042648315,100,0.68,0.2,0.12,0.19,0.49,1.79096101953998,0.08,4,0,nan
3451,0.9992589354515076,100,0.69,0.18,0.13,0.48,0.21,1.8090438670270719,0.09,5,1,nan
3457,0.9607985019683838,100,0.7,0.2,0.1,0.43,0.27,1.8301642912024774,0.13,6,1,nan
3459,0.9899716973304749,100,0.68,0.14,0.18,0.43,0.25,1.8659821084614605,0.06,6,1,nan
3462,0.9771250486373901,100,0.78,0.13,0.09,0.3,0.48,1.724656597257864,0.18,3,0,nan
3464,0.9830566048622131,100,0.65,0.15,0.2,0.37,0.28,1.919879857997134,0.13,5,1,nan
3466,0.9998109340667725,100,0.81,0.07,0.12,0.56,0.25,1.6040630413482142,0.16,4,0,nan
3468,0.9963052272796631,100,0.79,0.06,0.15,0.5,0.29,1.6719822669158193,0.18,5,1,nan
3471,0.9992978572845459,100,0.68,0.2,0.12,0.31,0.37,1.8859764692080705,0.09,4,0,nan
3472,0.9990696907043457,100,0.6,0.2,0.2,0.38,0.22,1.9397975406110117,0.05,5,1,nan
3478,0.9810899496078491,100,0.72,0.15,0.13,0.42,0.3,1.8399249408254703,0.11,5,1,nan
3484,0.9983671307563782,100,0.58,0.18,0.24,0.23,0.35,1.9572103835181798,0.07,5,1,nan
3486,0.9989523887634277,100,0.57,0.17,0.26,0.27,0.3,1.970986375778791,0.06,3,0,nan
3487,0.9993143081665039,100,0.7,0.13,0.17,0.28,0.42,1.8570976476606167,0.1,4,0,nan
3491,0.9886067509651184,100,0.62,0.14,0.24,0.24,0.38,1.9158320452319428,0.1,5,1,nan
3496,0.9934613108634949,100,0.73,0.1,0.17,0.3,0.43,1.8114336740689732,0.12,4,0,nan
3498,0.9709903001785278,100,0.58,0.23,0.19,0.29,0.29,1.9787017351533385,0.06,3,0,nan
3502,0.9940024018287659,100,0.71,0.15,0.14,0.45,0.26,1.8313446912803448,0.11,5,1,nan
3510,0.9909185171127319,100,0.75,0.14,0.11,0.22,0.53,1.7134162256178564,0.07,5,2,nan
3512,0.9786248803138733,100,0.62,0.21,0.17,0.3,0.32,1.9545336692960715,0.05,4,0,nan
3514,0.9988884329795837,100,0.72,0.19,0.09,0.23,0.49,1.7598296385810703,0.09,4,0,nan
3522,0.9857946038246155,100,0.6,0.22,0.18,0.23,0.37,1.9442777382390788,0.03,4,0,nan
3523,0.9986220598220825,100,0.64,0.21,0.15,0.26,0.38,1.9191091598246608,0.11,3,0,nan
3532,0.9652993083000183,100,0.61,0.26,0.13,0.27,0.34,1.927127708090447,0.08,4,0,nan
3535,0.9918748140335083,100,0.66,0.15,0.19,0.38,0.28,1.910444539594474,0.06,4,0,nan
3539,0.9954001903533936,100,0.68,0.18,0.14,0.21,0.47,1.8271965813550146,0.07,5,1,nan
3542,0.9994120001792908,100,0.61,0.12,0.27,0.47,0.14,1.7861546147274954,0.05,5,1,nan
3543,0.9989628791809082,100,0.85,0.1,0.05,0.47,0.38,1.5906977601445684,0.13,5,3,nan
3547,0.9990543723106384,100,0.67,0.16,0.17,0.2,0.47,1.833945127496205,0.08,5,1,nan
3550,0.9979265928268433,100,0.63,0.19,0.18,0.36,0.27,1.9411708358574582,0.06,5,1,nan
3553,0.9709647297859192,100,0.71,0.14,0.15,0.33,0.38,1.8659303968485301,0.12,3,0,nan
3554,0.9808146953582764,100,0.66,0.16,0.18,0.33,0.33,1.9239695707385291,0.14,3,0,nan
3555,0.9907013177871704,100,0.67,0.2,0.13,0.21,0.46,1.8351882488691447,0.04,5,1,nan
3556,0.9989877343177795,100,0.68,0.16,0.16,0.41,0.27,1.8834402422971739,0.07,5,1,nan
3559,0.9923998713493347,100,0.79,0.12,0.09,0.4,0.39,1.7382893362471559,0.18,4,0,nan
3568,0.9772247076034546,100,0.62,0.19,0.19,0.2,0.42,1.9004847981216106,0.09,5,2,nan
3569,0.9938351511955261,100,0.66,0.21,0.13,0.14,0.52,1.7431540251114106,0.09,5,2,nan
3571,0.9650842547416687,100,0.73,0.08,0.19,0.54,0.19,1.6820044834978891,0.09,5,1,nan
3574,0.9940590262413025,100,0.63,0.16,0.21,0.44,0.19,1.872213391236493,0.03,5,1,nan
3576,0.9808483123779297,100,0.57,0.3,0.13,0.17,0.4,1.8670919267663244,0.05,4,0,nan
3579,0.9544236660003662,100,0.66,0.17,0.17,0.34,0.32,1.9243814577244938,0.03,5,1,nan
3580,0.9991924166679382,100,0.67,0.18,0.15,0.25,0.42,1.88149873516307,0.06,4,0,nan
3581,0.9976912140846252,100,0.74,0.09,0.17,0.48,0.26,1.76079792956952,0.12,5,1,nan
3582,0.9967157244682312,100,0.59,0.13,0.28,0.44,0.15,1.828556146698565,0.05,4,0,nan
3584,0.9939935207366943,100,0.61,0.12,0.27,0.45,0.16,1.818507170755696,0.07,6,2,nan
3586,0.9809829592704773,100,0.71,0.16,0.13,0.21,0.5,1.7784842727454808,0.06,5,1,nan
3589,0.9870423078536987,100,0.63,0.22,0.15,0.38,0.25,1.9215711417809977,0.11,5,1,nan
3594,0.9998158812522888,100,0.72,0.17,0.11,0.24,0.48,1.7872770281928319,0.08,4,0,nan
3598,0.9577187299728394,100,0.62,0.24,0.14,0.3,0.32,1.9383683218310273,0.04,4,0,nan
3602,0.9777637124061584,100,0.79,0.09,0.12,0.46,0.33,1.7228788803838622,0.11,5,2,nan
3611,0.9992871284484863,100,0.69,0.21,0.1,0.34,0.35,1.8642902995465955,0.09,4,0,nan
3617,0.9982950091362,100,0.57,0.23,0.2,0.28,0.29,1.9841774541410142,0.06,5,1,nan
3621,0.9927569031715393,100,0.83,0.05,0.12,0.42,0.41,1.6361946454833243,0.18,5,1,nan
3622,0.9874659180641174,100,0.52,0.2,0.28,0.28,0.24,1.9869608142719164,0.04,7,1,nan
3629,0.9917991757392883,100,0.63,0.21,0.16,0.38,0.25,1.9262930284389412,0.05,6,1,nan
3634,0.9930344820022583,100,0.66,0.22,0.12,0.45,0.21,1.8388651814560875,0.07,4,0,nan
3646,0.9855805039405823,100,0.73,0.12,0.15,0.42,0.31,1.8270529265598974,0.15,4,0,nan
3647,0.9994611740112305,100,0.69,0.14,0.17,0.5,0.19,1.786923495232459,0.06,4,0,nan
3648,0.9981659054756165,100,0.65,0.26,0.09,0.14,0.51,1.7104819994347054,0.05,4,0,nan
3649,0.9954121708869934,100,0.8,0.12,0.08,0.28,0.52,1.6633726580786887,0.14,7,4,nan
3656,0.99590665102005,100,0.78,0.13,0.09,0.44,0.34,1.7456184980610485,0.14,5,2,nan
3659,0.9935486912727356,100,0.65,0.14,0.21,0.47,0.18,1.8271965813550146,0.07,4,0,nan
3660,0.9841601252555847,100,0.63,0.15,0.22,0.39,0.24,1.915049778803887,0.06,4,0,nan
3662,0.998691976070404,100,0.63,0.25,0.12,0.19,0.44,1.8434405024898126,0.09,4,0,nan
3670,0.9982832074165344,100,0.56,0.23,0.21,0.19,0.37,1.9464463082610792,0.06,4,0,nan
3671,0.9706231355667114,100,0.64,0.18,0.18,0.44,0.2,1.8761476580776089,0.09,5,2,nan
3672,0.9990558624267578,100,0.63,0.12,0.25,0.42,0.21,1.865536665893886,0.06,5,1,nan
