idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
6306,0.964617908000946,100,0.66,0.17,0.17,0.39,0.27,1.908992332809196,0.08,4,0,nan
6307,0.9930830597877502,100,0.78,0.07,0.15,0.26,0.52,1.6749647757393626,0.03,8,2,nan
6314,0.9848796725273132,100,0.69,0.1,0.21,0.47,0.22,1.7975450051137538,0.09,6,2,nan
6315,0.9916366338729858,100,0.68,0.14,0.18,0.44,0.24,1.8576990880535558,0.05,5,1,nan
6316,0.9958085417747498,100,0.72,0.17,0.11,0.38,0.34,1.8445002075783865,0.05,5,1,nan
6317,0.994181752204895,100,0.7,0.19,0.11,0.32,0.38,1.8620000290617782,0.13,4,0,nan
6325,0.9873684048652649,100,0.71,0.07,0.22,0.44,0.27,1.7802968513459398,0.13,4,0,nan
6330,0.9636850357055664,100,0.57,0.27,0.16,0.33,0.24,1.9549955046292211,0.1,4,0,nan
6331,0.9988238215446472,100,0.75,0.19,0.06,0.36,0.39,1.7591723463016646,0.14,5,1,nan
6334,0.9989824891090393,100,0.71,0.19,0.1,0.29,0.42,1.830969346577632,0.12,4,0,nan
6335,0.9943490624427795,100,0.75,0.12,0.13,0.6,0.15,1.602435579623455,0.1,5,1,nan
6338,0.9995595812797546,100,0.81,0.06,0.13,0.31,0.5,1.6499723252658196,0.17,4,0,nan
6342,0.9802209138870239,100,0.75,0.07,0.18,0.58,0.17,1.6042571847845266,0.09,6,2,nan
6345,0.9962286949157715,100,0.57,0.19,0.24,0.33,0.24,1.9713179024859988,0.05,4,0,nan
6353,0.9989597797393799,100,0.72,0.12,0.16,0.47,0.25,1.802039881956015,0.08,5,1,nan
6357,0.992856502532959,100,0.81,0.13,0.06,0.5,0.31,1.6499723252658196,0.17,5,1,nan
6365,0.9920229315757751,100,0.68,0.14,0.18,0.48,0.2,1.8150723811034164,0.12,6,1,nan
6368,0.9940946102142334,100,0.55,0.26,0.19,0.21,0.34,1.9625116106951046,0.07,3,0,nan
6369,0.9970022439956665,100,0.58,0.2,0.22,0.25,0.33,1.972781507865076,0.04,4,0,nan
6371,0.9999601244926453,100,0.86,0.1,0.04,0.29,0.57,1.4981015836250897,0.17,5,2,nan
6375,0.9982143640518188,100,0.68,0.09,0.23,0.44,0.24,1.8156027773783152,0.06,6,2,nan
6376,0.9864576458930969,100,0.63,0.2,0.17,0.21,0.42,1.8974419114340755,0.07,5,1,nan
6383,0.9913998246192932,100,0.71,0.18,0.11,0.32,0.39,1.851425346108729,0.14,4,0,nan
6385,0.9951362609863281,100,0.63,0.1,0.27,0.31,0.32,1.8920428984819204,0.09,4,0,nan
6389,0.9678040742874146,100,0.8,0.1,0.1,0.4,0.4,1.721928094887362,0.17,5,1,nan
6394,0.9913468360900879,100,0.77,0.09,0.14,0.57,0.2,1.636400323505477,0.08,5,3,nan
6395,0.9622904658317566,100,0.74,0.12,0.14,0.31,0.43,1.8115362998582882,0.09,5,1,nan
6397,0.999434232711792,100,0.83,0.07,0.1,0.62,0.21,1.501160164518554,0.07,6,1,nan
6399,0.9988232851028442,100,0.76,0.21,0.03,0.26,0.5,1.629878234365504,0.08,4,0,nan
6401,0.9860848188400269,100,0.53,0.14,0.33,0.29,0.24,1.936970952538297,0.05,5,1,nan
6404,0.9995330572128296,100,0.67,0.2,0.13,0.26,0.41,1.8797027588288118,0.07,4,0,nan
6408,0.9867555499076843,100,0.67,0.16,0.17,0.32,0.35,1.913738450831429,0.14,3,0,nan
6410,0.9987714886665344,100,0.74,0.11,0.15,0.54,0.2,1.7052602522375988,0.06,5,1,nan
6413,0.9952443838119507,100,0.7,0.15,0.15,0.2,0.5,1.7854752972273342,0.06,4,0,nan
6419,0.9999284744262695,100,0.84,0.09,0.07,0.43,0.41,1.6321579286855679,0.16,5,1,nan
6420,0.9986495971679688,100,0.67,0.19,0.14,0.3,0.37,1.904155349167112,0.1,3,0,nan
6421,0.9962654113769531,100,0.69,0.18,0.13,0.42,0.27,1.8636195830055506,0.08,4,0,nan
6426,0.9987296462059021,100,0.59,0.18,0.23,0.25,0.34,1.962149026153199,0.04,5,1,nan
6429,0.9992538690567017,100,0.59,0.17,0.24,0.31,0.28,1.966736272193029,0.06,4,0,nan
6430,0.9998719096183777,100,0.68,0.17,0.15,0.12,0.56,1.680639660982092,0.04,5,2,nan
6432,0.9950461983680725,100,0.74,0.13,0.13,0.33,0.41,1.8204954817763368,0.13,5,1,nan
6434,0.9994731545448303,100,0.65,0.22,0.13,0.49,0.16,1.7905162466997253,0.08,5,2,nan
6435,0.994887113571167,100,0.64,0.18,0.18,0.37,0.27,1.9313658183886442,0.07,5,1,nan
6439,0.9730093479156494,100,0.77,0.16,0.07,0.28,0.49,1.7100741434381113,0.14,5,2,nan
6442,0.9972224831581116,100,0.64,0.26,0.1,0.2,0.44,1.8230135223914212,0.08,4,0,nan
6447,0.9992988109588623,100,0.69,0.11,0.2,0.33,0.36,1.8731100328396275,0.08,4,0,nan
6452,0.997692883014679,100,0.77,0.08,0.15,0.47,0.3,1.735098661462402,0.15,4,0,nan
6458,0.9966933727264404,100,0.65,0.24,0.11,0.26,0.39,1.8795065194785838,0.08,4,0,nan
6461,0.999772846698761,100,0.65,0.14,0.21,0.52,0.13,1.7431540251114106,0.06,4,0,nan
6464,0.9816846251487732,100,0.61,0.2,0.19,0.33,0.28,1.9616549056785522,0.11,3,0,nan
6466,0.9988188147544861,100,0.73,0.12,0.15,0.5,0.23,1.7652797555664328,0.08,5,2,nan
6467,0.9876194000244141,100,0.7,0.12,0.18,0.39,0.31,1.8659664678523615,0.12,9,1,nan
6470,0.9905828237533569,100,0.69,0.17,0.14,0.45,0.24,1.8442329241526716,0.1,5,1,nan
6472,0.9878687858581543,100,0.64,0.2,0.16,0.24,0.4,1.9103083326692296,0.08,4,0,nan
